,0,1,2,3,4,5,6,7
700,Hogar dulce hogar,Año: 2011,País:: Uruguay,"Purificación vive en un hogar de inmigrantes y quiere volver a la tierra donde nació. Allí esta su hijo al que hace años no ve. Mientras ensaya con los compañeros del coro de abuelos para la fiesta de fin de año, vamos viviendo su proceso interno, sus sueños y cómo es posible mantener el espíritu alegre y las ganas de vivir más allá de la edad.",HD,Largometraje,Documental,"
María Viera Vignale "
701,Hoje,Año: 2013,País:: Brasil,"Ex- militante política recebe indenização do governo brasileiro pelo desaparecimento do marido, vítima da repressão desencadeada pela ditadura militar brasileira. Com o dinheiro, ela pode comprar o tão sonhado apartamento próprio e libertar-se da condição de suspensão em que viveu durante décadas, período em que não era sequer reconhecida oficialmente como viúva. No momento da mudança para o novo lar, porém, surge uma visita que a obriga a rever toda sua trajetória.",87,Ficción,"
Tata Amaral ","
Denise Fraga, Cesar Troncoso, João Baldasserini, Pedro Abhull, Lorena Lobato e Cláudia Assunção "
702,Hoje eu quero voltar sozinho,Año: 2014,País:: Brasil,"Leonardo é um adolescente cego em busca de sua independência. Seu cotidiano, a relação com a melhor amiga, Giovana, e a sua forma de ver o mundo ganham novos contornos com a chegada de Gabriel.",96,Comedia Romántica,"
Daniel Ribeiro ","
Ghilherme Lobo, Fabio Audi, Tess Amorim "
703,Hola ésta es mi cámara,Año: 2011,País:: Argentina,"Las calles vibran en lo cotidiano, los espacios sociales se transfiguran, la organización desigual ylo que hacemos con eso.",70,Documental,"
Pablo Oliverio ",
704,"Homero Manzi, Un Poeta en la Tormenta",Año: 2008,País:: Argentina,"Homero Manzi fue no solo uno de los más grandes poetas del tango sino también unluchador político. Peleó por los derechos sociales en medio de la tormenta política de laprimera mitad del siglo 20 en Argentina, hasta la llegada del peronismo, movimientosocial y político que él apoyó. Su pasión por la gente del suburbio y el tango es similar a su pasión por la lucha política para que los pueblos latinoamericanos puedan decidir su propio futuro.",90,Drama,"
Eduardo Spagnuolo ",
705,Horizontal y Vertical,Año: 2007,País:: Argentina,"Dicen que el amor cura… aunque para hacerlo tenga que rozar la muerte.En un edificio cualquiera, de una ciudad desconocida, seres anónimos viven un antes yun después; ese momento exacto en el que todo cambia. Cada piso, idéntico y único,late en función de sus personajes. Afuera la noche, adentro la luz mínima deja ver quetodos los ""antes y después"" son simultáneos. Basta con espiar un microcosmos entrecuatro paredes para descubrir el mundo; porque como es arriba es abajo y como es adentroes afuera en este universo Horizontal / Vertical.",110,Drama,"
Nicolás Tuozzo ",www.horizontalvertical.com.ar
706,Horses,Año: 2013,País:: Argentina,"Documental acerca del maltrato que sufren los caballos de tiro en nuestro país. Unaproblemática de alcance nacional que nos habla de otra Argentina: la que no queremosver. Incluye entrevistas, testimonios e imágenes imperdibles.",Video,Largometraje,Documental,"
Juliana Rodriguez "
707,Hospi,Año: 2011,País:: Uruguay,"Cuando la medicina no tiene respuesta y la muerte está al acecho, los pacientes, lejos de sentirse desahuciados, encuentran algo de paz y tranquilidad en este lugar. Un centro de cuidados paliativos, en que el único objetivo es ayudar a pacientes y familiares en esa última etapa. Algo tan simple y profundo como estar al lado del paciente hasta el final, acompañarlo, reconfortarlo, escucharlo, sin falsas esperanzas, sin dramatizar, tomando la vida como un proceso en etapa terminal.",HD,Largometraje,Documental,"
Gerardo Daniel Castelli Sclavi "
708,Hostias,Año: 2011,País:: Argentina,"Juan, un prestigioso director de cine, se ve forzado a filmar una película muy mala para saldarsus deudas de juego. Entre problemas y malos entendidos, solo Laura estará para ayudarlo. Pero¿podrá Juan reconocer el amor cuando solo piensa en salvar su pellejo?.",95,Comedia Romántica,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
709,Hotel Atlântico,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Suzana Amaral  ","
Suzana Amaral  ",www.hotelatlantico-filme.com.br/
710,Hotel Marconi ,Año: 2009,País:: Chile,  Jorge Alis   Marta Aránguiz   Julia Antivilo   José Yovane   Mirtala Cárdenas   Luis Ferrada ,70,"
Juan Carlos Mege ,             Camilo Echegoyen  ","
José Yovane ","
  Jorge Alis   Marta Aránguiz   Julia Antivilo   José Yovane   Mirtala Cárdenas   Luis Ferrada  "
711,Hotxuá,Año: 2012,País:: Brasil,"Registro poético sobre a tribo indígena krahô, um povo sorridente que designa um sacerdote do riso, o hotxuá, para fortalecer e unir o grupo através da alegria, do abraço e da conversa. Acompanhando o dia-a-dia da aldeia no Norte do Brasil, o filme colhe depoimentos dos índios, em sua língua nativa e em português.",HD,Largometraje,Documental,"
Letícia Sabatella,             Gringo Cardia "
712,Hoy ,Año: 2007,País:: Argentina,"Un trabajo odioso, unos amigos por momentos insoportables y la chica que mas te gustay no te animas a encarar! Si, bastante parecido a tus veintipico ...",75,Ficción,"
Luis Díaz ",
713,Huacho ,Año: 2009,País:: Chile,  Clemira Aguayo   Manuel Hernández   Alejandra Yáñez   Cornelio Villagrán ,90,"
Alejandro Fernández Almendras ","
Alejandro Fernández Almendras ","
  Clemira Aguayo   Manuel Hernández   Alejandra Yáñez   Cornelio Villagrán  "
714,Huellas,Año: 2013,País:: Argentina,"En un viaje íntimo y geográfico el director narra en primera persona la historia de su abueloLudovico, un italiano llegado a la Argentina luego de combatir en la Segunda Guerra Mundialque pronto se revela En un viaje íntimo y geográfico el director narra en primera persona la historia de su abueloLudovico, un italiano llegado a la Argentina luego de combatir en la Segunda Guerra Mundialque pronto se revela perturbadoramente contradictorio. En busca de sus secretos, el directordeberá internarse en el desierto, enfrentar los silencios de su propia historia, redefinir suidentidad y reconstruir vínculos familiares quebrados desde hacía años. contradictorio. En busca de sus secretos, el directordeberá internarse en el desierto, enfrentar los silencios de su propia historia, redefinir suidentidad y reconstruir vínculos familiares quebrados desde hacía años.",Video,Largometraje,Documental,"
Miguel Colombo "
715,Huellas y memoria de Jorge Prelorán,Año: 2009,País:: Argentina,"Jorge Prelorán filmó por más de veinte años un género propio, las etnobiografías. Centrándose enla vida de un personaje y siguiéndolo por un tiempo determinado, logró profundos retratos paraexpresas la particular visión del mundo de diferentes personas. “Huellas” se inscribe dentro deesa línea, sólo que en este caso el protagonista es el mismo Prelorán y el director un discípulo.La película desentraña la vida de Jorge Prelorán a la manera en que él lo hizo con sus personajes:desde su niñez marcada por el asma, una familia de clase alta y una educación rígida hastaconvertirse en el hombre que transformó una parte del cine documental.",82,Documental,"
Fermín Rivera ",
716,Hunabkú El Principio de Todo,Año: 2007,País:: Argentina,Una reflexión ágil y moderna acerca del hombre de clase media alejado de sí mismo yenvuelto en un círculo vicioso de ambiciones consumistas. Una experiencia de imágenescautivantes e inolvidables que nos recuerda las tremendas consecuencias del olvido y lasherramientas para reencontrar las fuerzas más poderosas en la propia esencia.,100,Ficción,"
Pablo César ",www.hunabku.com.ar
717,"Ibitipoca, Droba pra Lá",Año: 2012,País:: Brasil,"Ibitipoca, Droba Pra Lá é o retrato de um momento de transição, de um cotidiano que há tempos não é o mesmo. Uma tranformação repentina de cenário gerou um contraste entre a simplicidade e a modernidade num pequeno município do interior de Minas Gerais. O documentário relata a ação do tempo na vida de importantes personagens inseridos nessa mudança",71,"
Felipe Scaldini ",www.youtube.com/watch?v=owx1nnh3Dr4,http://ferrovelhoproducoes.com.br/ibitipoca/ficha-tecnica/
718,Igualita a mí,Año: 2010,País:: Argentina,"Fredy (Adrián Suar) tiene 41 años. Es soltero, no tiene hijos y vive de noche. Es el arquetipo delplayboy, sin un trabajo fijo y eterno seductor de veinteañeras. Una noche, Fredy conoce a Aylín(Florencia Bertotti). Creyendo estar frente a un nuevo affaire pasajero, se encuentra con la sorpresade que Aylín es su hija y que, además, va a ser abuelo. Esto le cambiará la vida cuando menos lopensaba.",112,Comedia,"
Diego Kaplan ",
719,Ilegal,Año: 2014,País:: Brasil,"De um lado, uma menina de 5 anos com uma forma de epilepsia rara, grave e sem cura. Do outro, uma substância derivada da maconha que acaba com as convulsões da criança. Entre as duas, uma lei que torna o tratamento impossível.",90,Documental,"
Raphael Erichsen,             Tarso Araújo ",https://www.youtube.com/watch?v=1kLZjNGu_Fs
720,Ilusiones Ópticas ,Año: 2009,País:: Chile,  Paola Lattus   Iván Alvarez de Araya   Eduardo Paxeco   Gregory Cohen   Valentina Vargas   Alvaro Rudolphy   Carla Bolito   Hugo Medina   Samuel González   Paulina Eguiluz   Andrés Waas   Carla Chambel   Angel Lattus   Rosa Calderón   Dusan Gasic   Cristóbal Briceño   Cristián Celis ,105,"
Cristián Jiménez  ","
Cristián Jiménez ,             Alicia Scherson ","
  Paola Lattus   Iván Alvarez de Araya   Eduardo Paxeco   Gregory Cohen   Valentina Vargas   Alvaro Rudolphy   Carla Bolito   Hugo Medina   Samuel González   Paulina Eguiluz   Andrés Waas   Carla Chambel   Angel Lattus   Rosa Calderón   Dusan Gasic   Cristóbal Briceño   Cristián Celis  "
721,Imagen Final,Año: 2008,"País:: Argentina, Chile, Dinamarca, Suecia","Junio de 1973 en Santiago de Chile. Leonardo Henrichsen, un camarógrafo argentino filma su propia muerte. 33 años más tarde, Ernesto Carmona, un investigador y periodista chileno, descubre la identidad del hombre que le disparó. Imagen Final es una película sobre una de las imágenes más famosas de la historia. Sobre un periodista filmando un continente hundiéndose en la violencia. Una oportunidad de ver el material de archivo más inusual y revelador de los últimos 40 años.",91,Documental,"
Andrés Habegger ",
722,Imágenes del Tío Sam,Año: 2012,País:: Argentina,"En 2009, Argentina intenta sancionar una nueva ley de medios audiovisuales enfrentandoresistencias que durante decadas la sometieron al poder de EEUU y de sus aliados locales encine, video y tv. ""Imagenes del Tio Sam"" captura algunos trozos de vida de distintos personajes delmundo del cine y del mundo politico en medio de la lucha por la nueva ley, pero tambien descorrelos velos de la historia pasada y se pregunta por el futuro. Mitad crónica y mitad reflexión políticasobre historias individuales, la película intenta expresar una totalidad mayor: la historia social ypolítica de un país.",92,Documental,"
Daniel Stefanello ",
723,Incómodos,Año: 2008,País:: Argentina,"Cuenta la historia de Nicolás, Alfred y Abril, tres humanos de entre treinta y cuarentaaños que deben viajar en pleno invierno a Miramar, un pequeño balneario inhóspito,donde se respira desolación, misterio y melancolía por todos sus rincónes.En un viaje al pasado en pleno presente, cargado de ironía y surrealismo, estos tres incómodosbuscaran, sin saberlo, un lugar en el mundo.Una comedia ácida, oscura. Una historia de amor desparejo. Una aventura infantil demasiadogrande.",84,Ficción,"
Esteban Menis ",
724,"India, Vislumbres de otra realidad",Año: 2008,País:: Argentina,"Gran cantidad de habitantes conviven en la India, hermoso y fascinante país donde la vida cotidiana ofrece rasgos sorprendentes para el visitante y la religión está presente en cada detalle. “INDIA...” es una mirada inquieta sobre esta realidad tan fascinante: las diferencias entre la vida urbana y en los pueblos, costumbres y religiones más importantes; vacas sagradas, sadhus, el sistema de castas, el conflicto tibetano y el de Cachemira; los rituales mortuorios y mucho más. En el día a día, solemos olvidar que no somos los únicos habitantes del Planeta; conocer otras culturas nos dará la posibilidad de reflexionar sobre nuestra propia manera.",70,Documental,"
Jean Studler ",
725,Indiviso,Año: 2009,País:: Paraguay,Seguinos en:,,,"
        Ene        ","
        Abr        "
726,Industria argentina,Año: 2011,País:: Argentina,"La crisis económica provoca la quiebra de multitud de empresas. En Metalpar, una fabrica deheladeras, los trabajadores se resisten a perder su único medio de vida. Juan (Carlos Portaluppi) esuno de esos empleados que hace meses no cobra su salario. Su mujer embarazada y sus deudas lehacen ver un futuro muy negro. Poco a poco, tomando el control de su desesperación, Juan y suscompañeros comienzan a organizarse como una cooperativa para mantener en funcionamiento lacompañía abandonada por sus dueños. Así toman el pesado camino de construir una empresa sinempresarios.",100,Drama,"
Ricardo Díaz Iacoponi ",
727,Inevitable,Año: 2013,"País:: Argentina, España","Fabián (Grandinetti) y Mariela (Peleritti) son la pareja perfecta. La muerte de un compañerode Fabián provoca una crisis. El hombre buscará refugio en las teorías de un famosoescritor (Luppi), que le llevarán a buscar la auténtica pasión de su vida.",DCP,Largometraje,Drama,"
Jorge Algora "
728,Infancia clandestina,Año: 2012,"País:: Argentina, Brasil, España","Juan está clandestino. Al igual que su mamá, que su papá y que su adorado tío Beto, fuera de su casa tiene otro nombre. Juan, en la escuela, se llama Ernesto. Y conoce a María, que tiene un solo nombre. Basada en hechos verdaderos, en la Argentina de 1979, esta película es ""una de amor"".",35mm,Largometraje,Drama,"
Benjamín Ávila "
729,Infidelidad?,Año: 2008,"País:: Argentina, España","Antonia San Juan, Miguel Oscar Menassa, Cruz González, Olaga de Lucia, Luis Miguel Segui",90,Ficción,"
Miguel Oscar Menassa ","
Miguel Oscar Menassa "
730,Inocencia Perdida,Año: 2008,País:: Paraguay,Seguinos en:,"
Gustavo Allende ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
",
731,Inside outside,Año: 2013,"País:: Argentina, España","Una búsqueda: adentro, afuera. Un recorrido: adentro, afuera. Un camino interminable,inquietante, lleno de preguntas sin respuestas. Sólo intuiciones. Explorando el universoonírico sin rostros ni siquiera el propio, sin miedo a la repetición circular ineludible: Sara ysu búsqueda pictórica: adentro, afuera. Una artista plástica, performer de la vida a quienno le alcanza el lienzo y usa su propio cuerpo y su ser entera para crear mimetizada con lanaturaleza su obra de arte. Una metáfora de la inexcusable búsqueda del ser humano ensu afán por descifrar el amor y el desamor. Nacer, morir y renacer.",DCP,Largometraje,Drama,"
Mercedes Farriols "
732,Insolação,Año: 2010,País:: Brasil,Seguinos en:,Largometraje,"
Felipe Hirsch,             Daniela Thomas ","
Will Eno,             Sam Lipsyte ","
Mauro Pinheiro Jr "
733,Insônia,Año: 2014,País:: Brasil,"Cláudia é uma jovem que vive com seu pai, um cientista genial. Quando decide encontrar uma namorada para ele, acaba se vendo insegura e dividida entre o ciúme e a amizade.",91,Comedia Romántica,"
Beto Souza  ","
Lara Rodrigues, Luana Piovani, Daniel Kuzniecka "
734,Insurrección Libertaria ,Año: 2012,País:: Venezuela,"Los venezolanos recuerdan la escena de cuando el pueblo depuso al Gobernador y Capitán Vicente Emparan, lo que pocos conocen es cómo sucedió este hecho. Artistas reabren este episodio para mostrar lo que nunca se ha oído del 19 de abril 1810",Largometraje,https://www.youtube.com/watch?v=Xqsl5RInY5A,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
735,Invasión Alien,Año: 2013,País:: Argentina,"Olga y Horacio, dos compañeros de trabajo, deciden salir una noche y terminan teniendosexo en el auto en medio del bosque. Al día siguiente descubren que no pueden irse dellugar, ya que se encuentran en una zona con magnetismos extraños debido a que estácontrolada por algún tipo de inteligencia desconocida. De forma misteriosa encuentranuna casa con víveres en donde parar unos días, pero las cosas se complican aún máscuando Olga se da cuenta de que quedó embarazada de Horacio.",Video,Largometraje,Ficción,"
Ernesto Aguilar "
736,Invasión Silenciosa,Año: 2010,País:: Paraguay,Seguinos en:,Mediometraje,"
Emilio Sanabria ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
737,Invernadero,Año: 2010,País:: Argentina,"Invernadero describe una breve temporada en la que un escritor convive con su hija bailarina, quelo visita después de un viaje por Africa.",93,"
Gonzalo Castro ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
738,Inzomnia,Año: 2007,"País:: Argentina, España, Italia","la película cuenta la historiade una bruja milenaria que luego de estar enterrada por 700 años, renace en BuenosAires y busca por toda la ciudad el ingrediente mas importante que le falta para la fórmulade la inmortalidad, descartando a todos los que se crucen a su paso",90,Ficción,"
Paula Pollacchi ",
739,Iraqi Short Films,Año: 2008,País:: Argentina,"“Iraqi Short Films” es el resultado de una minuciosa investigación de la propaganda generada por todas las fuerzas implicadas en el conflicto: las compañías de seguridad privada, el ejército de ocupación liderado por Estados Unidos y las milicias locales que resisten la invasión.",94,Documental,"
Mauro Andrizzi ",
740,Irmã Dulce,Año: 2014,País:: Brasil,Cinebiografia da religiosa baiana que dedicou a vida aos necessitados.,90,Drama,"
Vicente Amorim ","
Bianca Comparato, Regina Braga, Glória Pires "
741,Islas de Naturaleza,Año: 2011,País:: Uruguay,"Las historias de un grupo de pequeños productores de las localidades de San Javier y Nuevo Berlín, son el pretexto para introducirnos en el funcionamiento del Sistema Nacional de Áreas Protegidas (SNAP) y analizar los impactos que el modelo del agro-negocio tiene sobre el área de Esteros de Farrapos e Islas del Río Uruguay, y sobre los modos de producción locales.",DV,Largometraje,Documental,"
Álvaro Adib "
742,Isolados,Año: 2014,País:: Brasil,"Lauro e Renata viajam para uma casa na serra, quando Lauro descobre a ocorrência de ataques violentos a mulheres na região. Decidido a esconder as notícias para que Renata não se impressione e, ao mesmo tempo, protegê-la dos assassinos, opta pelo isolamento na casa – mas a situação se torna insustentável.",90,Suspenso,"
Tomas Portella ","
 Bruno Gagliasso, Regiane Alves, José Wilker, Juliana Alves "
743,Ita ,Año: 2009,País:: Paraguay,Seguinos en:,,,"
        Ene        ","
        Abr        "
744,Ita Letra,Año: 2009,País:: Paraguay,Seguinos en:,Cortometraje,"
Víctor Hugo Ferreira,             Vicky Mazacotte  ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
745,Jaime Roos a las 10,Año: 1994,País:: Uruguay,Seguinos en:,60,Documental,"
Guillermo Casanova ","
Guillermo Casanova "
746,Jamás leí a Onetti,Año: 2010,País:: Uruguay,"“Jamás leí a Onetti” es un documental-homenaje al escritor uruguayo Juan Carlos Onetti, en el que se recrea con testimonios, palabras, dibujos y música, parte del legado onettiano. A partir del vínculo entre diversos tipos de escritura, se interroga también acerca de los medios y los fines de todo proceso creativo.",HD,Largometraje,Documental,"
Pablo Dotta "
747,Japón,Año: 2009,País:: Argentina,"En un taller de cine para jóvenes en situación de discapacidad, sus cinco participantes y doscoordinadores, se proponen imaginar y protagonizar las historias que quieren contar. Japón es unequipo de fútbol. Messi, el capitán, enamorado de Esmeralda, con quién quiere casarse; Borgez,defensor del equipo, poeta, soñador en busca de la mujer de sus sueños; Lacone, cantante, viajeroincansable por una libertad pujante; Raúl, gran asador, amante del fútbol, el arquero del equipo.Las historias de estos jugadores se entretejen en una trama, para reencontrarse sobre una canchade fútbol. Están prontos a enfrentar a su archirival: Japón. Es el gran partido final.",65,Comedia,"
Gonzalo Montiel ",
748,Jardim Atlântico,Año: 2013,País:: Brasil,Um musical brasileiro. Um casal no conflito entre posse e a liberdade de se viver um amor.,83,Musical,"
Jura Capela ","
Fransérgio Araújo, Mariano Mattos Martins, Sylvia Prado "
749,Jardim Europa,Año: 2014,País:: Brasil,"Numa grande casa do bairro de Jardim Europa, Elenora e seus filhos Luis Felipe, Ana Luiza e Mariana se debatem com as contas e as dívidas. Eleonora se lembra dos velhos carnavais do Rio de Janeiro com o marido, suas filhas estão também presas a esse lugar e a esse estilo de vida. Um dia, Alberto, pai dos filhos de Eleonora, chega depois de anos de ausência e se instala de forma inesperada.",35mm,Largometraje,Comedia,"
Mauro Baptista Vedia "
750,Jards Macalé - Um Morcego na Porta Principal,Año: 2010,País:: Brasil,Seguinos en:,71,Documental,"
João Pimentel,             Marco Abujamra ","
João Pimentel,             Marco Abujamra "
751,Jazmines del Alma – La vida de Chiquitunga,Año: 2009,País:: Paraguay,Seguinos en:,Documental,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
",
752,Jean Charles,Año: 2009,País:: Brasil,Seguinos en:,Largometraje,"
Henrique Goldman  ","
Marcelo Starobinas ,             Henrique Goldman  ",
753,Jinetes,Año: 2013,País:: Argentina,"Las divertidas peripecias de un grupo de jinetes, que unidos por el amor a la historiay a la cultura recorrieron a lomo de caballo 1900 kilómetros en 64 días, desde Jujuy,descubriendo con asombro las gentes y paisajes que lo conforman, afrontando avataresy llevando sus impresiones hasta la mismísima Buenos Aires, a tiempo de los festejosdel Bicentenario de la Revolución de Mayo. Conmovidos ante un país grande y vívido,los jinetes encontrarán sentimientos antes dormidos, trabarán amistades, compartiráncomidas, música y también la pena de las injusticias. Las viejas ideas de la Revoluciónrecobrarán así su sentido.",Video,Largometraje,Documental,"
Santiago Jose Asef "
754,Jogo das decapitações,Año: 2014,País:: Brasil,"Com pouco tempo pela frente, Leandro tem que finalizar seu mestrado. Em sua pesquisa, o jovem se depara com um filme de Jairo Mendes, que havia sido censurado em 1973, e percebe sua relação com o artista, ao mesmo tempo em que vive as manifestações populares eclodindo nas capitais brasileiras.",96,Drama,"
Sérgio Bianchi  ","
Fernando Alves Pinto, Clarisse Abujamra, Silvio Guindane, Maria Manoella, Maria Alice Vergueiro, Renato Borghi, Peréio, Sergio Mamberti "
755,Jogo de Xadrez,Año: 2014,País:: Brasil,"Mina está na cadeia por causa de uma fraude na Previdência Social, envolvendo o Senador Franco. O senador, temendo que ela conte a verdade para as autoridades, contrata o diretor da cadeia para que ele a impeça de abrir a boca. Começa aí um jogo de desafios e de luta pelo poder dentro e fora da penitenciária. Levará vantagem o mais forte e o mais inteligente.",90,Suspenso,"
Luis Antonio Pereira ","
Priscila Fantin, Antonio Calloni, Tuca Andrada, Carla Marins, Luana Xavier, Cintia Fellicio, Salvatore Giuliano, Fabio Nascimento, Wesley Aguiar, Fabricio Santiago, Carla Franca... "
756,Jorge Mautner – O filho do holocausto,Año: 2013,País:: Brasil,Uma visão da trajetória artística do cantor e compositor Jorge Mautner.,HD,Largometraje,Documental,"
Pedro Bial ,             Heitor D'Alincourt "
757,José Ignacio,Año: 2009,"País:: Argentina, Uruguay","Fernando es un argentino que vive en José Ignacio, un pueblo de la costa uruguaya. Fue un importante ejecutivo, pero luego de la crisis de 2001 decidió comenzar una nueva vida como escritor, aunque sus intentos de escribir no terminan de convencerlo.Con la llegada de su hija, decide acompañarla a una clase de surf. Ahí conoce a Marina, la profesora, que vive en Italia y regresa a José Ignacio en los veranos.A Fernando lo cautivan su belleza y espontaneidad. Ella admira la madurez y estabilidad de Fernando.La mutua atracción desemboca en un amor apasionado.Con el fin del verano, los días se hacen más cortos, el agua más fría y la vida difícil.¿Podrá más la fuerza del amor o la realidad de dos vidas tan diferentes?",85,Comedia Romántica,"
Ricardo Preve ",
758,"Juan Carlos Moreno González, la  sencillez de un grande",Año: 2009,País:: Paraguay,Seguinos en:,Documental,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
",
759,Juan e a bailarina,Año: 2013,"País:: Argentina, Brasil","Grupo de idosos que vive em asilo descobre, durante as férias da enfermeira, que a Igreja Católica clonou Jesus Cristo. Com isso, o local acaba ficando uma bagunça.",Digital,Largometraje,Drama,"
Raphael Vieira "
760,Juan e a bailarina,Año: 2013,"País:: Argentina, Brasil","Grupo de idosos que vive em asilo descobre, durante as férias da enfermeira, que a Igreja Católica clonou Jesus Cristo. Com isso, o local acaba ficando uma bagunça.",Digital,Largometraje,Drama,"
Raphael Vieira "
761,"Juan Mandinga Lado A, Sensations & Emotions / Lado B, Chucha La Loca",Año: 2008,País:: Chile,Seguinos en:,80,"
Nicolás Labra  ","
Nicolás Labra  ",
762,Juan y Eva,Año: 2011,País:: Argentina,"El terremoto ocurrido en la ciudad de San Juan, en enero de 1944 da origen a la historia de amor deJuan Domingo Perón y Eva Duarte. Él, un coronel del Ejército; ella una actriz de radio en ascenso.La pelicula narra la construcción de esa relación íntima en el marco de acontecimientos vertiginosos,desde enero de 1944 hasta octubre de 1945, período durante el cual se consolidan como pareja.",100,Drama,"
Paula de Luque ",
763,Juízo,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Maria Augusta Ramos  ","
Maria Augusta Ramos  ",
764,Julio Sumiu,Año: 2014,País:: Brasil,"Edna descobre que seu filho desapareceu. Preocupada com a falta de ação da polícia, ela sobe o morro para conversar com o traficante que estaria mantendo seu filho refém, e se vê obrigada a levar para casa sacolas cheias de drogas. Com a ajuda do filho mais velho, ela transforma o apartamento em uma “boca” para pagar o resgate de Julio.",100,Comedia,"
Roberto Berliner  ","
Lília Cabral, Fiuk, Carolina Dieckmann  "
765,Junho,Año: 2014,País:: Brasil,"Bastidores das manifestações contra o aumento das tarifas de transporte público em São Paulo, ocorridas em junho de 2013.",72,Documental,"
João Wainer ",http://arte.folha.uol.com.br/tvfolha/2014/05/20/junho/
766,Juntos para siempre,Año: 2010,País:: Argentina,"No hay lugar para la vida real en la cabeza de Gross, guionista de cine en busca de una nuevahistoria. En permanente estado de negación, él ni siquiera escucha cuando Lucía, su mujer, leconfiesa su infidelidad. Cuando decide dejarlo, Gross no se inmuta, reemplazándola el mismo díapor Laura, una chica sin muchas luces y más dispuesta a su maltrato. Su madre, llena de culpas, leconfiesa, en una escena absurda y ridícula, que su padre no es su padre. Él minimiza también estaconfesión y se mete de lleno en la escritura de su guión: una tragedia familiar que vemos en accióny termina de la peor manera, transformándose en metáfora del destino de Gross.",101,Comedia Dramática,"
Pablo Solarz ",
767,Juventude ,Año: 2008,País:: Brasil,Seguinos en:,Largometraje,"
Domingos Oliveira ","
Domingos Oliveira ",
768,Kajianteya,Año: 2013,País:: Argentina,"Al norte de Argentina, en la provincia de Salta, encontramos a Kajianteya. Ella es Niyat(autoridad) de una comunidad aborigen de la etnia wichí.A través de su palabra descubrimosla tensión entre dos realidades. Por un lado, un mundo de discriminación, despojo y exclusiónde los pueblos indígenas.Y por otro lado, la pelea diaria por una vida digna que contemple elmandato ancestral de la conservación de su cultura, la recuperación de derechos territorialesy el cuidado de la naturaleza.",Video,Largometraje,Documental,"
Daniel Samyn "
769,Kambakua,Año: 2009,País:: Paraguay,Seguinos en:,Documental,,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
",
770,Kambuchi,Año: 2009,País:: Paraguay,Seguinos en:,Largometraje,"
Miguel Agüero ",,"

              Todas las secciones              

              Noticias              

              Cartelera              

              Agenda              

              Festivales              

              Documentos Oficiales              

              Programas de Trabajo              

              Cine en Cifras              

              Normativa              

              Publicaciones              


              Empresas              

              Películas              


              Vínculos              

              Actividades y Proyectos              
"
771,Karai Norte,Año: 2009,País:: Paraguay,Seguinos en:,20,Ficción,"
Marcelo Martinessi ",
